ccam_num,day_num,carcass_age,CORA,TUVU,UNGU,Bird,Great Blue Heron (not scavenging),Deer mouse,Human,Western Fence Lizard,Mule deer (mouth contact),Black phoebe
11,12,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
11,13,4,10670s (~2.96 hours),593s (~9.88 minutes),0s,0s,0s,0s,0s,0s,0s,0s
11,14,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
11,15,4,4741s (~1.32 hours),0s,0s,0s,0s,0s,0s,0s,0s,0s
11,16,4,2963s (~49.38 minutes),5926s (~1.65 hours),0s,0s,0s,0s,0s,0s,0s,0s
11,17,4,592s (~9.87 minutes),3554s (~59.23 minutes),0s,592s (~9.87 minutes),0s,0s,0s,0s,0s,0s
11,18,4,1185s (~19.75 minutes),8886s (~2.47 hours),0s,0s,0s,0s,0s,0s,0s,0s
11,19,4,1185s (~19.75 minutes),13625s (~3.78 hours),0s,0s,0s,0s,0s,0s,0s,0s
11,20,4,1777s (~29.62 minutes),5924s (~1.65 hours),0s,592s (~9.87 minutes),0s,0s,0s,0s,0s,0s
11,21,4,2963s (~49.38 minutes),1778s (~29.63 minutes),0s,0s,0s,0s,0s,0s,0s,0s
11,22,4,592s (~9.87 minutes),1778s (~29.63 minutes),0s,0s,0s,0s,0s,0s,0s,0s
12,2,3,2367s (~39.45 minutes),4142s (~1.15 hours),0s,0s,0s,0s,0s,0s,0s,0s
12,3,3,1184s (~19.73 minutes),0s,0s,0s,0s,0s,0s,0s,0s,0s
12,4,4,0s,2432s (~40.53 minutes),0s,0s,0s,0s,0s,0s,0s,0s
12,5,4,0s,608s (~10.13 minutes),0s,0s,0s,0s,0s,0s,0s,0s
12,6,4,0s,2368s (~39.47 minutes),1184s (~19.73 minutes),0s,0s,0s,0s,0s,0s,0s
12,7,4,0s,2960s (~49.33 minutes),592s (~9.87 minutes),0s,0s,0s,0s,0s,0s,0s
12,8,4,1887s (~31.45 minutes),1887s (~31.45 minutes),629s (~10.48 minutes),1258s (~20.97 minutes),0s,0s,0s,0s,0s,0s
13,1,3,1744s (~29.07 minutes),0s,13369s (~3.71 hours),0s,0s,0s,0s,0s,0s,0s
14,2,3,2959s (~49.32 minutes),20712s (~5.75 hours),1184s (~19.73 minutes),0s,0s,0s,0s,0s,0s,0s
14,3,3,1776s (~29.6 minutes),15389s (~4.27 hours),0s,0s,0s,0s,0s,0s,0s,0s
14,4,3,1775s (~29.58 minutes),13019s (~3.62 hours),0s,0s,0s,0s,0s,0s,0s,0s
14,5,3,1800s (~30 minutes),4800s (~1.33 hours),0s,0s,0s,0s,0s,0s,0s,0s
14,6,3,1800s (~30 minutes),5400s (~1.5 hours),0s,0s,0s,0s,0s,0s,0s,0s
14,7,3,0s,0s,592s (~9.87 minutes),0s,0s,0s,0s,0s,0s,0s
14,8,3,2367s (~39.45 minutes),0s,0s,0s,0s,0s,0s,0s,0s,0s
14,9,3,0s,583s (~9.72 minutes),583s (~9.72 minutes),0s,0s,0s,0s,0s,0s,0s
15,2,3,1184s (~19.73 minutes),0s,4143s (~1.15 hours),0s,0s,0s,0s,0s,0s,0s
17,2,3,726s (~12.1 minutes),0s,4358s (~1.21 hours),0s,0s,0s,0s,0s,0s,0s
18,2,1,5929s (~1.65 hours),0s,0s,0s,0s,0s,0s,0s,0s,0s
18,16,4,0s,0s,0s,0s,0s,0s,0s,0s,0s,0s
20,2,2,3550s (~59.17 minutes),12425s (~3.45 hours),0s,0s,0s,0s,0s,0s,0s,0s
20,3,2,2366s (~39.43 minutes),0s,0s,0s,0s,0s,0s,0s,0s,0s
20,4,3,0s,0s,592s (~9.87 minutes),0s,0s,0s,0s,0s,0s,0s
20,5,3,4140s (~1.15 hours),0s,0s,0s,0s,0s,0s,0s,0s,0s
20,6,3,2365s (~39.42 minutes),12417s (~3.45 hours),0s,0s,0s,0s,0s,0s,0s,0s
20,7,3,1182s (~19.7 minutes),2365s (~39.42 minutes),0s,0s,0s,0s,0s,0s,0s,0s
20,8,3,5211s (~1.45 hours),3722s (~1.03 hours),0s,0s,0s,0s,0s,0s,0s,0s
