ccam_num,day_num,carcass_age,CORA,TUVU,UNGU,Bird,small_mammal,Human
24,3,3,8871s (~2.46 hours),2957s (~49.28 minutes),29571s (~8.21 hours),0s,0s,0s
24,4,3,7689s (~2.14 hours),5323s (~1.48 hours),14786s (~4.11 hours),0s,0s,0s
24,5,3,15377s (~4.27 hours),5323s (~1.48 hours),11237s (~3.12 hours),0s,0s,0s
24,6,3,14194s (~3.94 hours),2957s (~49.28 minutes),11829s (~3.29 hours),0s,0s,0s
24,7,3,13597s (~3.78 hours),0s,11232s (~3.12 hours),0s,0s,0s
24,8,3,24824s (~6.9 hours),0s,8866s (~2.46 hours),0s,0s,0s
24,10,3,8871s (~2.46 hours),0s,7097s (~1.97 hours),0s,0s,0s
24,11,3,11235s (~3.12 hours),591s (~9.85 minutes),6504s (~1.81 hours),0s,0s,0s
25,2,4,1183s (~19.72 minutes),5324s (~1.48 hours),592s (~9.87 minutes),0s,0s,0s
25,3,4,10052s (~2.79 hours),4139s (~1.15 hours),6504s (~1.81 hours),0s,0s,0s
25,4,4,9463s (~2.63 hours),10646s (~2.96 hours),2366s (~39.43 minutes),0s,0s,0s
25,5,4,9461s (~2.63 hours),19513s (~5.42 hours),8869s (~2.46 hours),0s,0s,0s
25,6,4,0s,2400s (~40 minutes),12600s (~3.5 hours),0s,0s,0s
27,1,3,17128s (~4.76 hours),5316s (~1.48 hours),1181s (~19.68 minutes),0s,0s,0s
27,2,3,24183s (~6.72 hours),5308s (~1.47 hours),24183s (~6.72 hours),0s,0s,0s
27,3,3,18882s (~5.24 hours),0s,9137s (~2.54 hours),0s,0s,0s
27,4,3,20687s (~5.75 hours),591s (~9.85 minutes),2364s (~39.4 minutes),0s,0s,0s
27,5,3,4137s (~1.15 hours),3546s (~59.1 minutes),0s,0s,0s,0s
27,6,3,7093s (~1.97 hours),0s,3546s (~59.1 minutes),0s,0s,0s
27,7,3,14769s (~4.1 hours),0s,2363s (~39.38 minutes),0s,0s,0s
27,8,3,7313s (~2.03 hours),0s,609s (~10.15 minutes),0s,0s,0s
29,1,3,0s,5320s (~1.48 hours),24320s (~6.76 hours),0s,0s,0s
29,2,3,0s,11377s (~3.16 hours),21415s (~5.95 hours),0s,0s,0s
29,3,3,6724s (~1.87 hours),11431s (~3.18 hours),19500s (~5.42 hours),0s,0s,0s
29,4,3,1800s (~30 minutes),1800s (~30 minutes),18600s (~5.17 hours),0s,0s,0s
29,5,3,591s (~9.85 minutes),2955s (~49.25 minutes),8866s (~2.46 hours),0s,0s,0s
29,6,3,0s,9750s (~2.71 hours),5200s (~1.44 hours),0s,0s,0s
29,7,3,1302s (~21.7 minutes),6509s (~1.81 hours),1953s (~32.55 minutes),0s,0s,0s
29,8,3,0s,1342s (~22.37 minutes),8054s (~2.24 hours),0s,0s,0s
30,1,2,0s,0s,8400s (~2.33 hours),0s,0s,0s
30,2,2,0s,1180s (~19.67 minutes),11797s (~3.28 hours),0s,0s,0s
30,3,3,8273s (~2.3 hours),4727s (~1.31 hours),26592s (~7.39 hours),0s,0s,0s
30,4,3,10053s (~2.79 hours),24245s (~6.73 hours),24836s (~6.9 hours),0s,0s,0s
30,5,3,7094s (~1.97 hours),17144s (~4.76 hours),9459s (~2.63 hours),0s,0s,0s
30,6,3,7684s (~2.13 hours),14776s (~4.1 hours),14185s (~3.94 hours),0s,0s,0s
30,7,3,11225s (~3.12 hours),591s (~9.85 minutes),12997s (~3.61 hours),0s,0s,0s
30,8,3,1182s (~19.7 minutes),591s (~9.85 minutes),5910s (~1.64 hours),0s,0s,0s
30,9,3,1182s (~19.7 minutes),0s,1182s (~19.7 minutes),0s,0s,0s
31,1,3,6478s (~1.8 hours),18256s (~5.07 hours),21790s (~6.05 hours),0s,0s,0s
31,2,3,4135s (~1.15 hours),13588s (~3.77 hours),15360s (~4.27 hours),0s,0s,0s
31,3,3,17128s (~4.76 hours),5906s (~1.64 hours),5316s (~1.48 hours),0s,0s,0s
31,4,3,19200s (~5.33 hours),2400s (~40 minutes),6600s (~1.83 hours),0s,0s,0s
31,5,3,2363s (~39.38 minutes),0s,5317s (~1.48 hours),0s,0s,0s
31,6,3,7088s (~1.97 hours),4134s (~1.15 hours),1181s (~19.68 minutes),0s,0s,0s
31,7,3,1181s (~19.68 minutes),0s,1181s (~19.68 minutes),0s,0s,0s
32,2,3,0s,0s,591s (~9.85 minutes),0s,0s,0s
32,3,3,0s,0s,0s,0s,0s,0s
32,4,3,0s,0s,4721s (~1.31 hours),0s,0s,0s
32,5,3,0s,1770s (~29.5 minutes),1770s (~29.5 minutes),0s,0s,0s
32,6,3,0s,0s,10623s (~2.95 hours),0s,0s,0s
32,7,3,0s,0s,2360s (~39.33 minutes),0s,0s,0s
32,8,4,0s,0s,591s (~9.85 minutes),0s,0s,0s
32,9,4,0s,0s,2363s (~39.38 minutes),0s,0s,0s
32,10,4,0s,0s,2954s (~49.23 minutes),0s,0s,0s
33,2,3,1186s (~19.77 minutes),1186s (~19.77 minutes),1779s (~29.65 minutes),0s,0s,0s
33,3,3,0s,2374s (~39.57 minutes),2968s (~49.47 minutes),0s,0s,0s
33,4,3,0s,0s,641s (~10.68 minutes),0s,0s,0s
33,5,3,0s,13383s (~3.72 hours),1912s (~31.87 minutes),0s,0s,0s
33,6,3,0s,11059s (~3.07 hours),5529s (~1.54 hours),0s,0s,0s
33,7,3,0s,0s,1781s (~29.68 minutes),0s,0s,0s
33,8,3,0s,4058s (~1.13 hours),2029s (~33.82 minutes),0s,0s,0s
33,9,3,0s,3698s (~1.03 hours),925s (~15.42 minutes),0s,0s,0s
