Data Collector / Recorder,Date,Survey Start Time,Survey End Time,Observation Latitude,Observation Longitude,Observation Location,Carcass ID/#,Carcass Species,Decomposition Level / Age (1-4),Carcass Latitude,Carcass Longitude,Carcass Length (meters),Carcass Length Measurement,Bout #,Start Time,Bout Length (seconds),Feeding Observation Time (seconds),# of Pecks,Scavenger Species ID ,Max. Species in Area,Max. Species on Carcass,Notes,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,6,11:39,NA,303,49,TUVU,3 TUVU ; 2 UNGU,3 TUVU,,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,7,11:22,NA,288,29,TUVU,3 TUVU,3 TUVU,Timid because other TUVUs,
Selah Hyson / Claire Nielsen / Frankie Gerraty / Gabriel Gott,27 Aug 2025,10:29,11:55,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,8,11:45,NA,340,40,TUVU,2 TUVU ; 2 UNGU,1 TUVU ; 2 UNGU,,
Selah Hyson / Frankie Gerraty / Gabriel Gott,29 Aug 2025,14:05,16:36,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,1,14:08,2119,357,61,TUVU,2 TUVU,2 TUVU,,
Selah Hyson / Frankie Gerraty / Gabriel Gott,29 Aug 2025,14:05,16:36,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,1,14:08,2119,361,73,TUVU,2 TUVU,2 TUVU,Used claws to stand on chunk,
Selah Hyson / Frankie Gerraty / Gabriel Gott,29 Aug 2025,14:05,16:36,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,2,14:14,814,360,33,TUVU,3 TUVU,2 TUVU,Timid because other TUVU,
Selah Hyson / Frankie Gerraty / Gabriel Gott,29 Aug 2025,14:05,16:36,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,2,14:23,814,257,7,TUVU,3 TUVU,3 TUVU,Timid because other TUVU,
Selah Hyson / Frankie Gerraty / Gabriel Gott,29 Aug 2025,14:05,16:36,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,3,14:20,2718,308,33,TUVU,3 TUVU,3 TUVU,"Juvenile, timid because other TUVU",
Selah Hyson / Frankie Gerraty / Gabriel Gott,29 Aug 2025,14:05,16:36,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,3,14:32,2718,307,54,TUVU,2 TUVU,1 TUVU,Juvenile,
Selah Hyson / Frankie Gerraty / Gabriel Gott,29 Aug 2025,14:05,16:36,37.11782,-122.33342,North Point Overlook,1,CASL,3,37.11814,-122.33469,1.5,estimated,4,14:42,926,693,23,TUVU,1 TUVU,1 TUVU,Timid because other TUVU,
